graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,24.0,0.029850746268656716,0.9303482587064676,42,11,6d,"[T1 W: 0, T14 W: 15.0, T4 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03590425531914894,0.7965425531914894,36,10,6d,"[T10 W: 0, T18 W: 13.0, T12 W: 0]",0.25
erdos-renyi,25,7,33.0,0.04187817258883249,0.9847715736040609,42,11,6d,"[T14 W: 0, T12 W: 16.0, T20 W: 0]",0.25
erdos-renyi,25,9,28.0,0.027722772277227723,1.0128712871287129,54,15,6d,"[T9 W: 0, T19 W: 17.0, T24 W: 0]",0.33
erdos-renyi,25,9,25.0,0.022851919561243144,0.8473491773308958,54,13,6d,"[T11 W: 0, T3 W: 16.0, T24 W: 0]",0.33
erdos-renyi,25,9,31.0,0.03182751540041068,1.1190965092402465,48,16,6d,"[T8 W: 0, T20 W: 18.0, T15 W: 0]",0.33
erdos-renyi,25,9,21.0,0.022435897435897436,0.8333333333333334,48,13,6d,"[T13 W: 0, T0 W: 14.0, T19 W: 0]",0.33
erdos-renyi,25,9,29.0,0.02457627118644068,1.0779661016949154,60,19,6d,"[T10 W: 0, T23 W: 15.0, T15 W: 0]",0.33
erdos-renyi,25,7,22.0,0.02570093457943925,1.0268691588785046,56,11,8d,"[T0 W: 0, T7 W: 15.0, T10 W: 0]",0.25
erdos-renyi,25,7,34.0,0.0413625304136253,0.9209245742092458,56,10,8d,"[T10 W: 0, T20 W: 18.0, T16 W: 0]",0.25
erdos-renyi,25,7,27.0,0.026732673267326732,0.9138613861386139,56,13,8d,"[T8 W: 0, T14 W: 13.0, T21 W: 0]",0.25
erdos-renyi,25,7,25.0,0.033783783783783786,0.8864864864864865,48,12,8d,"[T1 W: 0, T4 W: 13.0, T13 W: 0]",0.25
erdos-renyi,25,7,22.0,0.028277634961439587,0.7506426735218509,48,10,8d,"[T3 W: 0, T20 W: 7.0, T23 W: 0]",0.25
erdos-renyi,25,9,25.0,0.026427061310782242,0.857293868921776,64,12,8d,"[T10 W: 0, T19 W: 17.0, T18 W: 0]",0.33
erdos-renyi,25,9,24.0,0.025210084033613446,0.9275210084033614,64,12,8d,"[T15 W: 0, T22 W: 8.0, T17 W: 0]",0.33
erdos-renyi,25,9,27.0,0.024545454545454544,1.0218181818181817,72,15,8d,"[T2 W: 0, T13 W: 9.0, T9 W: 0]",0.33
erdos-renyi,25,9,27.0,0.027054108216432865,0.8366733466933868,64,11,8d,"[T8 W: 0, T15 W: 10.0, T22 W: 0]",0.33
erdos-renyi,25,9,30.0,0.02819548872180451,0.9642857142857143,64,13,8d,"[T6 W: 0, T14 W: 16.0, T22 W: 0]",0.33
