graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,max_route_len,type
erdos-renyi,25,3,18.0,0.061224489795918366,1.5034013605442176,24,5,24,"[N:T2,0,[], N:T23,18.0,[]]",1,bfs
erdos-renyi,25,4,28.0,0.06572769953051644,1.460093896713615,24,7,24,"[N:T10,0,[], N:T12,28.0,[]]",1,bfs
erdos-renyi,25,4,28.0,0.05185185185185185,1.6037037037037036,24,9,24,"[N:T4,0,[], N:T24,28.0,[]]",1,bfs
erdos-renyi,25,4,18.0,0.05421686746987952,1.6506024096385543,24,7,24,"[N:T3,0,[], N:T2,18.0,[]]",1,bfs
erdos-renyi,25,4,36.0,0.06293706293706294,1.4125874125874125,24,7,24,"[N:T3,0,[], N:T0,36.0,[]]",1,bfs
erdos-renyi,25,4,30.0,0.06437768240343347,1.4206008583690988,24,7,24,"[N:T8,0,[], N:T7,30.0,[]]",1,bfs
erdos-renyi,25,5,32.0,0.05574912891986063,1.411149825783972,24,8,24,"[N:T0,0,[], N:T1,32.0,[]]",1,bfs
erdos-renyi,25,5,34.0,0.06827309236947791,1.4096385542168675,24,8,24,"[N:T5,0,[], N:T6,34.0,[]]",1,bfs
erdos-renyi,25,5,30.0,0.052083333333333336,1.5173611111111112,24,9,24,"[N:T1,0,[], N:T13,30.0,[]]",1,bfs
erdos-renyi,25,5,34.0,0.051829268292682924,1.4359756097560976,24,9,24,"[N:T0,0,[], N:T24,34.0,[]]",1,bfs
erdos-renyi,25,5,32.0,0.06324110671936758,1.458498023715415,24,7,24,"[N:T20,0,[], N:T18,32.0,[]]",1,bfs
erdos-renyi,25,6,28.0,0.03753351206434316,1.4530831099195711,24,10,24,"[N:T15,0,[], N:T14,28.0,[]]",1,bfs
erdos-renyi,25,6,30.0,0.03836317135549872,1.4884910485933505,24,14,24,"[N:T21,0,[], N:T13,30.0,[]]",1,bfs
erdos-renyi,25,6,34.0,0.060714285714285714,1.6892857142857143,24,12,24,"[N:T11,0,[], N:T12,34.0,[]]",1,bfs
erdos-renyi,25,6,32.0,0.04678362573099415,1.4385964912280702,24,9,24,"[N:T0,0,[], N:T9,32.0,[]]",1,bfs
erdos-renyi,25,6,32.0,0.04289544235924933,1.418230563002681,24,9,24,"[N:T13,0,[], N:T21,32.0,[]]",1,bfs
erdos-renyi,25,7,32.0,0.03855421686746988,1.6506024096385543,24,17,24,"[N:T8,0,[], N:T23,32.0,[]]",1,bfs
erdos-renyi,25,7,32.0,0.03755868544600939,1.4366197183098592,24,11,24,"[N:T0,0,[], N:T17,32.0,[]]",1,bfs
erdos-renyi,25,7,30.0,0.034013605442176874,1.401360544217687,24,12,24,"[N:T5,0,[], N:T7,30.0,[]]",1,bfs
erdos-renyi,25,7,34.0,0.037694013303769404,1.3747228381374723,24,13,24,"[N:T7,0,[], N:T0,34.0,[]]",1,bfs
erdos-renyi,25,7,28.0,0.029166666666666667,1.375,24,11,24,"[N:T0,0,[], N:T17,28.0,[]]",1,bfs
erdos-renyi,25,8,34.0,0.037527593818984545,1.3267108167770418,24,11,24,"[N:T18,0,[], N:T20,34.0,[]]",1,bfs
erdos-renyi,25,8,30.0,0.029644268774703556,1.274703557312253,24,14,24,"[N:T2,0,[], N:T1,30.0,[]]",1,bfs
erdos-renyi,25,8,32.0,0.03219315895372234,1.3903420523138832,24,12,24,"[N:T20,0,[], N:T12,32.0,[]]",1,bfs
erdos-renyi,25,8,30.0,0.0351288056206089,1.2505854800936769,24,10,24,"[N:T5,0,[], N:T20,30.0,[]]",1,bfs
erdos-renyi,25,8,36.0,0.04433497536945813,1.3226600985221675,24,10,24,"[N:T2,0,[], N:T12,36.0,[]]",1,bfs
erdos-renyi,25,9,32.0,0.031496062992125984,1.2618110236220472,24,13,24,"[N:T18,0,[], N:T6,32.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.029159519725557463,1.3996569468267581,24,16,24,"[N:T4,0,[], N:T3,34.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.03640256959314775,1.5032119914346895,24,15,24,"[N:T12,0,[], N:T2,34.0,[]]",1,bfs
erdos-renyi,25,9,34.0,0.027552674230145867,1.299837925445705,24,13,24,"[N:T17,0,[], N:T22,34.0,[]]",1,bfs
erdos-renyi,25,9,36.0,0.03333333333333333,1.4944444444444445,24,17,24,"[N:T17,0,[], N:T3,36.0,[]]",1,bfs
erdos-renyi,25,10,32.0,0.02282453637660485,1.4322396576319543,24,16,24,"[N:T11,0,[], N:T23,32.0,[]]",1,bfs
erdos-renyi,25,10,32.0,0.0243531202435312,1.3424657534246576,24,14,24,"[N:T9,0,[], N:T12,32.0,[]]",1,bfs
erdos-renyi,25,10,34.0,0.029982363315696647,1.4232804232804233,24,15,24,"[N:T5,0,[], N:T24,34.0,[]]",1,bfs
erdos-renyi,25,10,32.0,0.026981450252951095,1.3052276559865092,24,14,24,"[N:T2,0,[], N:T20,32.0,[]]",1,bfs
erdos-renyi,25,10,32.0,0.030245746691871456,1.393194706994329,24,14,24,"[N:T1,0,[], N:T10,32.0,[]]",1,bfs
erdos-renyi,25,1,20.0,0.11235955056179775,1.752808988764045,48,4,48,"[N:T13,0,[], N:T17,20.0,[]]",1,bfs
erdos-renyi,25,1,16.0,0.13559322033898305,2.0,48,3,48,"[N:T4,0,[], N:T5,16.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.11392405063291139,1.5822784810126582,48,3,48,"[N:T1,0,[], N:T6,18.0,[]]",1,bfs
erdos-renyi,25,1,18.0,0.14285714285714285,2.0,48,4,48,"[N:T1,0,[], N:T0,18.0,[]]",1,bfs
erdos-renyi,25,1,12.0,0.18181818181818182,2.0,48,3,48,"[N:T10,0,[], N:T7,12.0,[]]",1,bfs
erdos-renyi,25,2,24.0,0.10526315789473684,1.5,48,5,48,"[N:T12,0,[], N:T23,24.0,[]]",1,bfs
erdos-renyi,25,2,36.0,0.14754098360655737,1.6475409836065573,48,5,48,"[N:T10,0,[], N:T17,36.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.0891089108910891,1.6237623762376239,48,3,48,"[N:T2,0,[], N:T1,18.0,[]]",1,bfs
erdos-renyi,25,2,16.0,0.08333333333333333,1.4166666666666667,48,4,48,"[N:T6,0,[], N:T13,16.0,[]]",1,bfs
erdos-renyi,25,2,18.0,0.06569343065693431,1.4598540145985401,48,4,48,"[N:T2,0,[], N:T9,18.0,[]]",1,bfs
erdos-renyi,25,3,24.0,0.05714285714285714,1.3476190476190477,48,6,48,"[N:T19,0,[], N:T13,24.0,[]]",1,bfs
erdos-renyi,25,3,34.0,0.06967213114754098,1.5122950819672132,48,7,48,"[N:T11,0,[], N:T19,34.0,[]]",1,bfs
