graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route,ratio
erdos-renyi,15,4,25.0,0.07763975155279502,0.8540372670807453,10,10,"[T3 W: 0, T1 W: 17.0, T5 W: 0]",0.25
erdos-renyi,15,4,22.0,0.09401709401709402,1.1538461538461537,10,10,"[T1 W: 0, T4 W: 7.0, T7 W: 0]",0.25
erdos-renyi,15,4,25.0,0.07183908045977011,1.1666666666666667,10,10,"[T1 W: 0, T7 W: 9.0, T2 W: 0]",0.25
erdos-renyi,15,4,21.0,0.075,0.9571428571428572,10,10,"[T0 W: 0, T14 W: 7.0, T11 W: 0]",0.25
erdos-renyi,15,5,27.0,0.10384615384615385,1.0576923076923077,10,10,"[T2 W: 0, T11 W: 18.0, T14 W: 0]",0.33
erdos-renyi,15,5,27.0,0.07627118644067797,1.0677966101694916,10,10,"[T2 W: 0, T9 W: 15.0, T5 W: 0]",0.33
erdos-renyi,15,5,18.0,0.05202312138728324,0.8757225433526011,10,10,"[T0 W: 0, T7 W: 10.0, T13 W: 0]",0.33
erdos-renyi,15,5,26.0,0.05531914893617021,0.9744680851063829,10,10,"[T5 W: 0, T6 W: 9.0, T11 W: 0]",0.33
erdos-renyi,15,5,28.0,0.0945945945945946,1.1114864864864864,10,10,"[T1 W: 0, T10 W: 15.0, T8 W: 0]",0.33
erdos-renyi,15,7,32.0,0.06722689075630252,0.8634453781512605,10,10,"[T10 W: 0, T6 W: 16.0, T13 W: 0]",0.45
erdos-renyi,15,7,32.0,0.05460750853242321,1.1313993174061434,10,10,"[T1 W: 0, T12 W: 17.0, T4 W: 0]",0.45
erdos-renyi,15,7,26.0,0.046762589928057555,0.9568345323741008,10,10,"[T3 W: 0, T9 W: 16.0, T12 W: 0]",0.45
erdos-renyi,15,7,30.0,0.06097560975609756,1.048780487804878,10,10,"[T7 W: 0, T1 W: 17.0, T9 W: 0]",0.45
erdos-renyi,15,7,29.0,0.05471698113207547,1.1471698113207547,10,10,"[T8 W: 0, T2 W: 8.0, T10 W: 0]",0.45
erdos-renyi,15,4,21.0,0.06325301204819277,1.0873493975903614,16,16,"[T0 W: 0, T2 W: 14.0, T5 W: 0]",0.25
erdos-renyi,15,4,21.0,0.08898305084745763,0.8516949152542372,16,16,"[T1 W: 0, T12 W: 13.0, T13 W: 0]",0.25
erdos-renyi,15,4,19.0,0.076,1.016,16,16,"[T0 W: 0, T3 W: 7.0, T11 W: 0]",0.25
erdos-renyi,15,4,22.0,0.08148148148148149,1.0555555555555556,16,16,"[T2 W: 0, T14 W: 13.0, T8 W: 0]",0.25
erdos-renyi,15,4,18.0,0.06521739130434782,0.9166666666666666,16,16,"[T2 W: 0, T8 W: 9.0, T5 W: 0]",0.25
erdos-renyi,15,5,20.0,0.057803468208092484,0.8236994219653179,16,16,"[T1 W: 0, T6 W: 7.0, T7 W: 0]",0.33
erdos-renyi,15,5,29.0,0.07512953367875648,1.0751295336787565,16,16,"[T3 W: 0, T1 W: 11.0, T11 W: 0]",0.33
erdos-renyi,15,5,22.0,0.05913978494623656,0.8198924731182796,16,16,"[T2 W: 0, T13 W: 15.0, T4 W: 0]",0.33
erdos-renyi,15,5,23.0,0.07516339869281045,0.7843137254901961,16,16,"[T5 W: 0, T8 W: 9.0, T6 W: 0]",0.33
erdos-renyi,15,5,22.0,0.06077348066298342,1.022099447513812,16,16,"[T2 W: 0, T8 W: 9.0, T5 W: 0]",0.33
erdos-renyi,15,7,27.0,0.04981549815498155,1.1346863468634687,16,16,"[T1 W: 0, T13 W: 9.0, T12 W: 0]",0.45
erdos-renyi,15,7,26.0,0.05179282868525897,1.0617529880478087,16,16,"[T4 W: 0, T9 W: 9.0, T12 W: 0]",0.45
erdos-renyi,15,7,32.0,0.05925925925925926,1.2481481481481482,16,16,"[T6 W: 0, T4 W: 18.0, T7 W: 0]",0.45
erdos-renyi,15,7,25.0,0.05230125523012552,0.8096234309623431,16,16,"[T8 W: 0, T14 W: 17.0, T11 W: 0]",0.45
erdos-renyi,15,7,27.0,0.043689320388349516,0.883495145631068,16,16,"[T3 W: 0, T10 W: 9.0, T12 W: 0]",0.45
erdos-renyi,15,4,34.0,0.09550561797752809,1.0421348314606742,24,24,"[T2 W: 0, T8 W: 17.0, T9 W: 0]",0.25
erdos-renyi,15,4,19.0,0.08962264150943396,0.6981132075471698,24,24,"[T1 W: 0, T2 W: 8.0, T7 W: 0]",0.25
erdos-renyi,15,4,27.0,0.07894736842105263,0.956140350877193,24,24,"[T5 W: 0, T7 W: 18.0, T13 W: 0]",0.25
