graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,7,30.0,0.03926701570680628,0.9319371727748691,36,9,6d,"[T0 W: 0, T3 W: 15.0, T16 W: 0]",0.25
erdos-renyi,25,7,26.0,0.03225806451612903,0.924317617866005,36,9,6d,"[T2 W: 0, T19 W: 9.0, T21 W: 0]",0.25
erdos-renyi,25,7,25.0,0.02540650406504065,1.1026422764227641,48,13,6d,"[T10 W: 0, T3 W: 16.0, T16 W: 0]",0.25
erdos-renyi,25,7,25.0,0.025458248472505093,0.9439918533604889,48,12,6d,"[T5 W: 0, T19 W: 9.0, T11 W: 0]",0.25
erdos-renyi,25,9,27.0,0.024324324324324326,0.7864864864864864,54,12,6d,"[T2 W: 0, T14 W: 14.0, T4 W: 0]",0.33
erdos-renyi,25,9,27.0,0.021462639109697933,1.0302066772655007,54,14,6d,"[T4 W: 0, T0 W: 9.0, T19 W: 0]",0.33
erdos-renyi,25,9,30.0,0.030120481927710843,0.8734939759036144,48,12,6d,"[T2 W: 0, T20 W: 15.0, T14 W: 0]",0.33
erdos-renyi,25,9,26.0,0.022413793103448276,1.0560344827586208,54,15,6d,"[T1 W: 0, T12 W: 9.0, T2 W: 0]",0.33
erdos-renyi,25,9,28.0,0.025500910746812388,0.75591985428051,48,12,6d,"[T0 W: 0, T1 W: 15.0, T16 W: 0]",0.33
erdos-renyi,25,7,26.0,0.03058823529411765,0.8576470588235294,48,13,8d,"[T7 W: 0, T16 W: 9.0, T12 W: 0]",0.25
erdos-renyi,25,7,25.0,0.028089887640449437,0.7640449438202247,56,11,8d,"[T4 W: 0, T18 W: 16.0, T13 W: 0]",0.25
erdos-renyi,25,7,23.0,0.024520255863539446,0.9392324093816631,64,13,8d,"[T8 W: 0, T17 W: 16.0, T20 W: 0]",0.25
erdos-renyi,25,7,24.0,0.03519061583577713,0.8636363636363636,48,10,8d,"[T12 W: 0, T19 W: 9.0, T21 W: 0]",0.25
erdos-renyi,25,7,25.0,0.029411764705882353,0.9023529411764706,48,10,8d,"[T12 W: 0, T20 W: 9.0, T22 W: 0]",0.25
erdos-renyi,25,9,28.0,0.02287581699346405,0.8390522875816994,72,13,8d,"[T11 W: 0, T1 W: 15.0, T15 W: 0]",0.33
erdos-renyi,25,9,29.0,0.02959183673469388,1.0510204081632653,64,15,8d,"[T14 W: 0, T20 W: 14.0, T24 W: 0]",0.33
erdos-renyi,25,9,24.0,0.022598870056497175,0.9463276836158192,72,13,8d,"[T21 W: 0, T8 W: 9.0, T22 W: 0]",0.33
erdos-renyi,25,9,29.0,0.029411764705882353,1.0344827586206897,64,15,8d,"[T10 W: 0, T20 W: 14.0, T12 W: 0]",0.33
erdos-renyi,25,9,27.0,0.02727272727272727,0.8646464646464647,56,11,8d,"[T3 W: 0, T23 W: 13.0, T11 W: 0]",0.33
