graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,dan,most_congested_route
erdos-renyi,11,3,16.0,0.125,1.078125,8,4d,"[T1 W: 0, T8 W: 9.0, T6 W: 0]"
erdos-renyi,11,3,19.0,0.1144578313253012,1.2349397590361446,16,4d,"[T0 W: 0, T10 W: 9.0, T2 W: 0]"
erdos-renyi,11,3,15.0,0.08522727272727272,0.4602272727272727,12,4d,"[T0 W: 0, T2 W: 8.0, T1 W: 0]"
erdos-renyi,11,3,16.0,0.11940298507462686,1.0522388059701493,12,4d,"[T0 W: 0, T3 W: 8.0, T1 W: 0]"
erdos-renyi,11,3,22.0,0.18333333333333332,1.0833333333333333,8,4d,"[T5 W: 0, T9 W: 8.0, T6 W: 0]"
erdos-renyi,11,4,27.0,0.125,1.0324074074074074,16,4d,"[T7 W: 0, T1 W: 16.0, T8 W: 0]"
erdos-renyi,11,4,18.0,0.08571428571428572,1.0714285714285714,12,4d,"[T0 W: 0, T2 W: 5.0, T3 W: 0]"
erdos-renyi,11,4,21.0,0.109375,1.0677083333333333,16,4d,"[T0 W: 0, T3 W: 6.0, T5 W: 0]"
erdos-renyi,11,4,19.0,0.09895833333333333,1.1979166666666667,16,4d,"[T2 W: 0, T10 W: 10.0, T4 W: 0]"
erdos-renyi,11,4,22.0,0.08208955223880597,0.9291044776119403,20,4d,"[T1 W: 0, T0 W: 13.0, T4 W: 0]"
erdos-renyi,11,5,24.0,0.09917355371900827,1.0495867768595042,20,4d,"[T4 W: 0, T2 W: 16.0, T10 W: 0]"
erdos-renyi,11,5,29.0,0.0935483870967742,1.2161290322580645,20,4d,"[T1 W: 0, T5 W: 20.0, T7 W: 0]"
erdos-renyi,11,5,26.0,0.0948905109489051,1.0364963503649636,20,4d,"[T0 W: 0, T7 W: 17.0, T2 W: 0]"
erdos-renyi,11,5,26.0,0.08843537414965986,1.1258503401360545,20,4d,"[T9 W: 0, T3 W: 14.0, T10 W: 0]"
erdos-renyi,11,5,24.0,0.11009174311926606,0.8715596330275229,16,4d,"[T1 W: 0, T9 W: 12.0, T7 W: 0]"
erdos-renyi,11,3,27.0,0.16265060240963855,1.2048192771084338,18,6d,"[T7 W: 0, T6 W: 12.0, T8 W: 0]"
erdos-renyi,11,3,15.0,0.0949367088607595,0.8227848101265823,18,6d,"[T8 W: 0, T5 W: 6.0, T10 W: 0]"
erdos-renyi,11,3,16.0,0.12121212121212122,0.7954545454545454,18,6d,"[T6 W: 0, T1 W: 11.0, T7 W: 0]"
erdos-renyi,11,3,23.0,0.10648148148148148,0.9814814814814815,24,6d,"[T6 W: 0, T1 W: 16.0, T8 W: 0]"
erdos-renyi,11,3,20.0,0.08928571428571429,0.6026785714285714,18,6d,"[T2 W: 0, T6 W: 14.0, T10 W: 0]"
erdos-renyi,11,4,23.0,0.11855670103092783,0.9432989690721649,18,6d,"[T6 W: 0, T8 W: 15.0, T7 W: 0]"
erdos-renyi,11,4,22.0,0.09482758620689655,0.9870689655172413,24,6d,"[T4 W: 0, T9 W: 15.0, T6 W: 0]"
erdos-renyi,11,4,29.0,0.13425925925925927,1.0277777777777777,24,6d,"[T2 W: 0, T10 W: 16.0, T6 W: 0]"
erdos-renyi,11,4,25.0,0.12376237623762376,0.7227722772277227,24,6d,"[T0 W: 0, T2 W: 16.0, T1 W: 0]"
erdos-renyi,11,4,26.0,0.11403508771929824,1.2675438596491229,24,6d,"[T0 W: 0, T10 W: 12.0, T8 W: 0]"
erdos-renyi,11,5,22.0,0.08943089430894309,0.8414634146341463,30,6d,"[T4 W: 0, T5 W: 10.0, T6 W: 0]"
erdos-renyi,11,5,30.0,0.12295081967213115,0.9467213114754098,24,6d,"[T3 W: 0, T2 W: 15.0, T5 W: 0]"
erdos-renyi,11,5,27.0,0.10887096774193548,1.0725806451612903,30,6d,"[T0 W: 0, T8 W: 9.0, T6 W: 0]"
erdos-renyi,11,5,25.0,0.08116883116883117,1.0649350649350648,30,6d,"[T5 W: 0, T6 W: 8.0, T8 W: 0]"
erdos-renyi,11,5,28.0,0.10687022900763359,0.950381679389313,30,6d,"[T5 W: 0, T1 W: 13.0, T10 W: 0]"
erdos-renyi,11,3,18.0,0.12857142857142856,1.0785714285714285,24,8d,"[T0 W: 0, T2 W: 9.0, T3 W: 0]"
erdos-renyi,11,3,28.0,0.14893617021276595,1.3670212765957446,24,8d,"[T9 W: 0, T1 W: 10.0, T10 W: 0]"
erdos-renyi,11,3,23.0,0.10747663551401869,1.0560747663551402,32,8d,"[T5 W: 0, T10 W: 7.0, T8 W: 0]"
erdos-renyi,11,3,18.0,0.15789473684210525,1.2017543859649122,16,8d,"[T6 W: 0, T5 W: 9.0, T10 W: 0]"
erdos-renyi,11,3,21.0,0.12209302325581395,1.0755813953488371,24,8d,"[T4 W: 0, T2 W: 14.0, T5 W: 0]"
erdos-renyi,11,4,22.0,0.10576923076923077,1.2115384615384615,24,8d,"[T3 W: 0, T7 W: 9.0, T4 W: 0]"
erdos-renyi,11,4,22.0,0.10679611650485436,0.8640776699029126,24,8d,"[T1 W: 0, T5 W: 5.0, T8 W: 0]"
erdos-renyi,11,4,24.0,0.1111111111111111,1.0509259259259258,32,8d,"[T1 W: 0, T5 W: 9.0, T8 W: 0]"
erdos-renyi,11,4,27.0,0.16463414634146342,0.9695121951219512,24,8d,"[T0 W: 0, T2 W: 9.0, T9 W: 0]"
erdos-renyi,11,4,27.0,0.10714285714285714,1.0595238095238095,40,8d,"[T9 W: 0, T2 W: 14.0, T10 W: 0]"
erdos-renyi,11,5,27.0,0.07458563535911603,1.0635359116022098,48,8d,"[T3 W: 0, T6 W: 18.0, T8 W: 0]"
erdos-renyi,11,5,36.0,0.1592920353982301,1.3716814159292035,40,8d,"[T5 W: 0, T3 W: 13.0, T8 W: 0]"
erdos-renyi,11,5,23.0,0.08846153846153847,1.1076923076923078,40,8d,"[T5 W: 0, T0 W: 11.0, T8 W: 0]"
erdos-renyi,11,5,32.0,0.12598425196850394,1.1929133858267718,40,8d,"[T1 W: 0, T3 W: 14.0, T4 W: 0]"
erdos-renyi,11,5,32.0,0.12030075187969924,1.1466165413533835,40,8d,"[T0 W: 0, T3 W: 17.0, T9 W: 0]"
erdos-renyi,11,3,25.0,0.11682242990654206,0.7710280373831776,40,10d,"[T2 W: 0, T5 W: 8.0, T7 W: 0]"
erdos-renyi,11,3,22.0,0.1111111111111111,1.1111111111111112,30,10d,"[T3 W: 0, T5 W: 8.0, T4 W: 0]"
erdos-renyi,11,3,16.0,0.21621621621621623,0.9324324324324325,20,10d,"[T1 W: 0, T0 W: 8.0, T5 W: 0]"
erdos-renyi,11,3,19.0,0.12179487179487179,1.1153846153846154,30,10d,"[T5 W: 0, T10 W: 8.0, T8 W: 0]"
erdos-renyi,11,3,18.0,0.14754098360655737,1.0245901639344261,20,10d,"[T4 W: 0, T9 W: 9.0, T5 W: 0]"
erdos-renyi,11,4,23.0,0.19491525423728814,1.2033898305084745,30,10d,"[T0 W: 0, T9 W: 9.0, T6 W: 0]"
erdos-renyi,11,4,24.0,0.12244897959183673,1.2704081632653061,40,10d,"[T4 W: 0, T5 W: 15.0, T9 W: 0]"
erdos-renyi,11,4,26.0,0.10655737704918032,1.1680327868852458,40,10d,"[T4 W: 0, T3 W: 9.0, T10 W: 0]"
erdos-renyi,11,4,18.0,0.11688311688311688,0.922077922077922,30,10d,"[T0 W: 0, T8 W: 9.0, T10 W: 0]"
erdos-renyi,11,4,18.0,0.10227272727272728,0.8806818181818182,40,10d,"[T0 W: 0, T7 W: 9.0, T10 W: 0]"
erdos-renyi,11,5,24.0,0.10619469026548672,0.8628318584070797,40,10d,"[T2 W: 0, T8 W: 15.0, T3 W: 0]"
erdos-renyi,11,5,25.0,0.11261261261261261,1.0,40,10d,"[T1 W: 0, T9 W: 11.0, T10 W: 0]"
erdos-renyi,11,5,18.0,0.07258064516129033,0.8870967741935484,40,10d,"[T3 W: 0, T6 W: 9.0, T7 W: 0]"
erdos-renyi,11,5,30.0,0.12195121951219512,1.3455284552845528,50,10d,"[T2 W: 0, T0 W: 11.0, T10 W: 0]"
erdos-renyi,11,5,27.0,0.09782608695652174,1.036231884057971,50,10d,"[T0 W: 0, T6 W: 18.0, T1 W: 0]"
erdos-renyi,11,3,21.0,0.14383561643835616,0.8972602739726028,36,12d,"[T2 W: 0, T3 W: 7.0, T8 W: 0]"
erdos-renyi,11,3,16.0,0.1095890410958904,1.0410958904109588,36,12d,"[T0 W: 0, T3 W: 8.0, T10 W: 0]"
erdos-renyi,11,3,27.0,0.11739130434782609,1.0043478260869565,48,12d,"[T4 W: 0, T7 W: 15.0, T5 W: 0]"
erdos-renyi,11,3,20.0,0.13513513513513514,0.6824324324324325,24,12d,"[T3 W: 0, T7 W: 8.0, T9 W: 0]"
erdos-renyi,11,3,16.0,0.11428571428571428,0.6785714285714286,24,12d,"[T4 W: 0, T5 W: 8.0, T9 W: 0]"
erdos-renyi,11,4,21.0,0.105,1.175,48,12d,"[T5 W: 0, T0 W: 13.0, T9 W: 0]"
erdos-renyi,11,4,27.0,0.18,0.76,36,12d,"[T4 W: 0, T5 W: 18.0, T8 W: 0]"
erdos-renyi,11,4,20.0,0.08196721311475409,0.9959016393442623,60,12d,"[T0 W: 0, T9 W: 11.0, T5 W: 0]"
erdos-renyi,11,4,24.0,0.14634146341463414,1.3353658536585367,48,12d,"[T4 W: 0, T2 W: 13.0, T9 W: 0]"
erdos-renyi,11,4,25.0,0.10964912280701754,0.8991228070175439,48,12d,"[T0 W: 0, T9 W: 10.0, T5 W: 0]"
erdos-renyi,11,5,20.0,0.10204081632653061,1.1326530612244898,48,12d,"[T1 W: 0, T9 W: 8.0, T3 W: 0]"
erdos-renyi,11,5,29.0,0.12184873949579832,1.2605042016806722,60,12d,"[T0 W: 0, T5 W: 19.0, T10 W: 0]"
erdos-renyi,11,5,32.0,0.10062893081761007,1.2389937106918238,84,12d,"[T2 W: 0, T10 W: 14.0, T9 W: 0]"
erdos-renyi,11,5,32.0,0.12698412698412698,1.003968253968254,60,12d,"[T0 W: 0, T8 W: 18.0, T7 W: 0]"
erdos-renyi,11,5,28.0,0.09523809523809523,0.9285714285714286,60,12d,"[T7 W: 0, T9 W: 16.0, T10 W: 0]"
erdos-renyi,15,4,41.0,0.1443661971830986,0.9823943661971831,3,3,"[T13 W: 0, T10 W: 9.0, T8 W: 4.0, T14 W: 0]"
erdos-renyi,15,4,26.0,0.1,1.0076923076923077,3,3,"[T1 W: 0, T6 W: 3.0, T14 W: 7.0, T11 W: 0]"
erdos-renyi,15,4,25.0,0.11160714285714286,0.9017857142857143,3,3,"[T0 W: 0, T5 W: 9.0, T14 W: 0]"
erdos-renyi,15,4,24.0,0.11214953271028037,1.2757009345794392,3,3,"[T3 W: 0, T6 W: 5.0, T12 W: 2.0, T2 W: 9.0, T9 W: 0]"
erdos-renyi,15,4,57.0,0.16379310344827586,1.1494252873563218,3,3,"[T1 W: 0, T4 W: 9.0, T11 W: 6.0, T4 W: 9.0, T9 W: 0]"
erdos-renyi,15,5,58.0,0.1686046511627907,1.1569767441860466,3,3,"[T6 W: 0, T13 W: 18.0, T11 W: 4.0, T9 W: 7.0, T14 W: 0]"
erdos-renyi,15,5,52.0,0.1452513966480447,1.0865921787709498,3,3,"[T7 W: 0, T11 W: 12.0, T10 W: 4.0, T4 W: 16.0, T14 W: 0]"
erdos-renyi,15,5,51.0,0.16346153846153846,1.3878205128205128,3,3,"[T6 W: 0, T13 W: 7.0, T7 W: 5.0, T1 W: 7.0, T11 W: 0]"
erdos-renyi,15,5,75.0,0.16741071428571427,1.1450892857142858,3,3,"[T3 W: 0, T9 W: 14.0, T10 W: 5.0, T14 W: 18.0, T13 W: 0]"
erdos-renyi,15,5,48.0,0.16216216216216217,1.2027027027027026,3,3,"[T7 W: 0, T5 W: 6.0, T1 W: 4.0, T10 W: 16.0, T11 W: 0]"
erdos-renyi,15,7,78.0,0.14942528735632185,1.4578544061302683,3,3,"[T2 W: 0, T3 W: 8.0, T9 W: 10.0, T1 W: 8.0, T8 W: 0]"
erdos-renyi,15,7,53.0,0.12045454545454545,1.2568181818181818,3,3,"[T1 W: 0, T6 W: 15.0, T10 W: 3.0, T9 W: 9.0, T3 W: 0]"
erdos-renyi,15,7,72.0,0.12080536912751678,1.1426174496644295,3,3,"[T1 W: 0, T7 W: 16.0, T12 W: 1.0, T13 W: 18.0, T14 W: 0]"
erdos-renyi,15,7,89.0,0.17049808429118773,1.2567049808429118,3,3,"[T6 W: 0, T14 W: 13.0, T1 W: 8.0, T7 W: 3.0, T14 W: 4.0, T11 W: 0]"
erdos-renyi,15,7,57.0,0.1168032786885246,1.3319672131147542,3,3,"[T3 W: 0, T0 W: 8.0, T13 W: 13.0, T7 W: 0]"
erdos-renyi,15,4,27.0,0.06923076923076923,0.9641025641025641,10,2d,"[T4 W: 0, T1 W: 18.0, T7 W: 0]"
erdos-renyi,15,4,27.0,0.08940397350993377,1.0827814569536425,8,2d,"[T3 W: 0, T13 W: 9.0, T10 W: 0]"
erdos-renyi,15,4,21.0,0.065625,1.078125,8,2d,"[T5 W: 0, T7 W: 12.0, T14 W: 0]"
erdos-renyi,15,4,20.0,0.08196721311475409,0.9672131147540983,8,2d,"[T9 W: 0, T0 W: 9.0, T13 W: 0]"
erdos-renyi,15,4,35.0,0.08454106280193237,1.2584541062801933,10,2d,"[T13 W: 0, T2 W: 19.0, T14 W: 0]"
erdos-renyi,15,5,21.0,0.065625,0.884375,8,2d,"[T7 W: 0, T3 W: 9.0, T14 W: 0]"
erdos-renyi,15,5,18.0,0.06293706293706294,1.1503496503496504,10,2d,"[T6 W: 0, T0 W: 13.0, T9 W: 0]"
erdos-renyi,15,5,23.0,0.07142857142857142,0.9316770186335404,8,2d,"[T0 W: 0, T1 W: 9.0, T4 W: 0]"
erdos-renyi,15,5,25.0,0.07763975155279502,0.8291925465838509,8,2d,"[T6 W: 0, T10 W: 17.0, T14 W: 0]"
erdos-renyi,15,5,27.0,0.07377049180327869,0.8797814207650273,10,2d,"[T10 W: 0, T14 W: 18.0, T12 W: 0]"
erdos-renyi,15,7,23.0,0.045098039215686274,0.8352941176470589,12,2d,"[T6 W: 0, T14 W: 9.0, T10 W: 0]"
erdos-renyi,15,7,32.0,0.05904059040590406,1.055350553505535,14,2d,"[T4 W: 0, T10 W: 16.0, T8 W: 0]"
erdos-renyi,15,7,21.0,0.050239234449760764,0.9282296650717703,12,2d,"[T3 W: 0, T10 W: 14.0, T13 W: 0]"
erdos-renyi,15,7,27.0,0.05510204081632653,0.9734693877551021,12,2d,"[T6 W: 0, T10 W: 18.0, T8 W: 0]"
erdos-renyi,15,7,25.0,0.0508130081300813,1.0691056910569106,14,2d,"[T1 W: 0, T10 W: 13.0, T8 W: 0]"
erdos-renyi,15,4,21.0,0.06,0.98,20,4d,"[T9 W: 0, T0 W: 14.0, T11 W: 0]"
erdos-renyi,15,4,23.0,0.08778625954198473,1.1068702290076335,12,4d,"[T5 W: 0, T8 W: 16.0, T14 W: 0]"
erdos-renyi,15,4,18.0,0.0703125,0.84765625,16,4d,"[T10 W: 0, T11 W: 10.0, T13 W: 0]"
erdos-renyi,15,4,18.0,0.05555555555555555,0.9629629629629629,16,4d,"[T3 W: 0, T11 W: 9.0, T4 W: 0]"
erdos-renyi,15,4,19.0,0.09313725490196079,1.1029411764705883,12,4d,"[T1 W: 0, T9 W: 9.0, T3 W: 0]"
erdos-renyi,15,5,24.0,0.06741573033707865,1.0224719101123596,20,4d,"[T4 W: 0, T3 W: 8.0, T9 W: 0]"
erdos-renyi,15,5,26.0,0.09352517985611511,0.8453237410071942,16,4d,"[T6 W: 0, T1 W: 9.0, T7 W: 0]"
erdos-renyi,15,5,29.0,0.06937799043062201,1.200956937799043,24,4d,"[T1 W: 0, T4 W: 20.0, T3 W: 0]"
erdos-renyi,15,5,23.0,0.07232704402515723,1.1352201257861636,20,4d,"[T12 W: 0, T14 W: 15.0, T13 W: 0]"
erdos-renyi,15,5,25.0,0.06944444444444445,0.9694444444444444,16,4d,"[T10 W: 0, T13 W: 9.0, T12 W: 0]"
erdos-renyi,15,7,28.0,0.056451612903225805,1.0100806451612903,28,4d,"[T2 W: 0, T13 W: 12.0, T10 W: 0]"
erdos-renyi,15,7,33.0,0.06653225806451613,1.221774193548387,24,4d,"[T13 W: 0, T7 W: 19.0, T14 W: 0]"
erdos-renyi,15,7,30.0,0.05434782608695652,1.0253623188405796,28,4d,"[T4 W: 0, T6 W: 12.0, T9 W: 0]"
erdos-renyi,15,7,27.0,0.05465587044534413,0.9635627530364372,24,4d,"[T7 W: 0, T12 W: 11.0, T14 W: 0]"
erdos-renyi,15,7,43.0,0.07072368421052631,1.263157894736842,28,4d,"[T6 W: 0, T10 W: 27.0, T7 W: 0]"
erdos-renyi,15,4,21.0,0.08015267175572519,0.8931297709923665,18,6d,"[T9 W: 0, T6 W: 14.0, T14 W: 0]"
erdos-renyi,15,4,21.0,0.08974358974358974,1.017094017094017,18,6d,"[T8 W: 0, T10 W: 11.0, T11 W: 0]"
erdos-renyi,15,4,19.0,0.1043956043956044,1.1373626373626373,18,6d,"[T4 W: 0, T3 W: 13.0, T5 W: 0]"
erdos-renyi,15,4,16.0,0.052980132450331126,0.7814569536423841,24,6d,"[T0 W: 0, T1 W: 8.0, T6 W: 0]"
erdos-renyi,15,4,22.0,0.09166666666666666,0.9625,18,6d,"[T0 W: 0, T5 W: 14.0, T14 W: 0]"
erdos-renyi,15,5,22.0,0.05392156862745098,0.8823529411764706,30,6d,"[T12 W: 0, T5 W: 8.0, T13 W: 0]"
erdos-renyi,15,5,24.0,0.0736196319018405,1.2453987730061349,30,6d,"[T9 W: 0, T7 W: 8.0, T14 W: 0]"
erdos-renyi,15,5,25.0,0.08012820512820513,0.9006410256410257,18,6d,"[T4 W: 0, T13 W: 9.0, T12 W: 0]"
erdos-renyi,15,5,22.0,0.05188679245283019,0.8490566037735849,36,6d,"[T1 W: 0, T11 W: 15.0, T7 W: 0]"
erdos-renyi,15,5,28.0,0.07179487179487179,0.9871794871794872,30,6d,"[T4 W: 0, T12 W: 12.0, T7 W: 0]"
erdos-renyi,15,7,26.0,0.05241935483870968,1.1310483870967742,42,6d,"[T4 W: 0, T12 W: 15.0, T11 W: 0]"
erdos-renyi,15,7,35.0,0.07261410788381743,1.112033195020747,36,6d,"[T4 W: 0, T13 W: 18.0, T14 W: 0]"
erdos-renyi,15,7,30.0,0.052083333333333336,1.0364583333333333,42,6d,"[T8 W: 0, T14 W: 13.0, T11 W: 0]"
erdos-renyi,15,7,29.0,0.07967032967032966,1.217032967032967,36,6d,"[T8 W: 0, T2 W: 12.0, T10 W: 0]"
erdos-renyi,15,7,25.0,0.046992481203007516,1.0902255639097744,42,6d,"[T3 W: 0, T0 W: 13.0, T7 W: 0]"
erdos-renyi,15,4,26.0,0.07142857142857142,1.1346153846153846,32,8d,"[T3 W: 0, T7 W: 9.0, T10 W: 0]"
erdos-renyi,15,4,18.0,0.07317073170731707,1.1341463414634145,24,8d,"[T2 W: 0, T11 W: 9.0, T5 W: 0]"
erdos-renyi,15,4,22.0,0.06470588235294118,1.0823529411764705,40,8d,"[T1 W: 0, T13 W: 9.0, T4 W: 0]"
erdos-renyi,15,4,22.0,0.09482758620689655,1.0560344827586208,32,8d,"[T6 W: 0, T3 W: 7.0, T11 W: 0]"
erdos-renyi,15,4,23.0,0.06353591160220995,0.9585635359116023,40,8d,"[T2 W: 0, T3 W: 14.0, T11 W: 0]"
erdos-renyi,15,5,25.0,0.06218905472636816,1.0820895522388059,40,8d,"[T10 W: 0, T0 W: 13.0, T12 W: 0]"
erdos-renyi,15,5,20.0,0.0625,0.846875,32,8d,"[T4 W: 0, T10 W: 12.0, T5 W: 0]"
erdos-renyi,15,5,26.0,0.05963302752293578,1.114678899082569,40,8d,"[T3 W: 0, T12 W: 17.0, T8 W: 0]"
erdos-renyi,15,5,24.0,0.05357142857142857,1.0267857142857142,48,8d,"[T9 W: 0, T12 W: 8.0, T10 W: 0]"
erdos-renyi,15,5,27.0,0.06923076923076923,0.9871794871794872,40,8d,"[T7 W: 0, T0 W: 17.0, T9 W: 0]"
erdos-renyi,15,7,31.0,0.045588235294117645,1.1529411764705881,64,8d,"[T5 W: 0, T4 W: 15.0, T14 W: 0]"
erdos-renyi,15,7,25.0,0.05841121495327103,1.0654205607476634,48,8d,"[T2 W: 0, T0 W: 11.0, T7 W: 0]"
erdos-renyi,15,7,40.0,0.08658008658008658,1.183982683982684,48,8d,"[T3 W: 0, T7 W: 16.0, T6 W: 0]"
erdos-renyi,15,7,24.0,0.05741626794258373,0.9665071770334929,48,8d,"[T4 W: 0, T7 W: 16.0, T10 W: 0]"
erdos-renyi,15,7,28.0,0.06451612903225806,0.8709677419354839,48,8d,"[T7 W: 0, T10 W: 12.0, T14 W: 0]"
erdos-renyi,15,4,22.0,0.102803738317757,1.060747663551402,30,10d,"[T1 W: 0, T12 W: 13.0, T4 W: 0]"
erdos-renyi,15,4,27.0,0.10975609756097561,1.1829268292682926,30,10d,"[T3 W: 0, T9 W: 15.0, T13 W: 0]"
erdos-renyi,15,4,22.0,0.0728476821192053,1.099337748344371,40,10d,"[T0 W: 0, T3 W: 7.0, T2 W: 0]"
erdos-renyi,15,4,24.0,0.07272727272727272,1.2242424242424241,40,10d,"[T1 W: 0, T12 W: 16.0, T14 W: 0]"
erdos-renyi,15,4,23.0,0.058673469387755105,1.0459183673469388,50,10d,"[T5 W: 0, T8 W: 9.0, T7 W: 0]"
erdos-renyi,15,5,24.0,0.1,1.0583333333333333,40,10d,"[T7 W: 0, T8 W: 8.0, T12 W: 0]"
erdos-renyi,15,5,24.0,0.06153846153846154,0.8948717948717949,50,10d,"[T0 W: 0, T6 W: 10.0, T5 W: 0]"
erdos-renyi,15,5,25.0,0.07530120481927711,1.0813253012048192,50,10d,"[T1 W: 0, T12 W: 9.0, T2 W: 0]"
erdos-renyi,15,5,27.0,0.0675,0.9275,50,10d,"[T0 W: 0, T3 W: 17.0, T4 W: 0]"
erdos-renyi,15,5,24.0,0.058823529411764705,1.053921568627451,60,10d,"[T7 W: 0, T3 W: 9.0, T12 W: 0]"
erdos-renyi,15,7,38.0,0.07011070110701106,1.0904059040590406,70,10d,"[T12 W: 0, T0 W: 15.0, T13 W: 0]"
erdos-renyi,15,7,30.0,0.046875,1.1921875,80,10d,"[T9 W: 0, T4 W: 14.0, T14 W: 0]"
erdos-renyi,15,7,22.0,0.051643192488262914,1.107981220657277,60,10d,"[T4 W: 0, T0 W: 7.0, T14 W: 0]"
erdos-renyi,15,7,25.0,0.05411255411255411,1.0346320346320346,70,10d,"[T2 W: 0, T6 W: 9.0, T9 W: 0]"
erdos-renyi,15,7,21.0,0.0525,0.94,60,10d,"[T0 W: 0, T7 W: 14.0, T8 W: 0]"
erdos-renyi,15,4,22.0,0.08943089430894309,1.024390243902439,36,12d,"[T2 W: 0, T5 W: 15.0, T11 W: 0]"
erdos-renyi,15,4,22.0,0.07534246575342465,0.8287671232876712,48,12d,"[T3 W: 0, T8 W: 8.0, T13 W: 0]"
erdos-renyi,15,4,24.0,0.09375,0.74609375,48,12d,"[T5 W: 0, T10 W: 13.0, T7 W: 0]"
