graph,vertex_num,constant,congestion,real_congestion,avg_route_len,delta,max_delta,dan,most_congested_route,ratio
erdos-renyi,25,9,27.0,0.02327586206896552,0.9741379310344828,80,15,8d,"[T3 W: 0, T5 W: 9.0, T7 W: 0]",0.33
erdos-renyi,25,9,31.0,0.0285451197053407,0.7808471454880295,64,12,8d,"[T6 W: 0, T23 W: 14.0, T16 W: 0]",0.33
erdos-renyi,25,7,27.0,0.040059347181008904,0.9673590504451038,50,8,10d,"[T21 W: 0, T8 W: 9.0, T22 W: 0]",0.25
erdos-renyi,25,7,25.0,0.03676470588235294,1.0735294117647058,60,11,10d,"[T18 W: 0, T20 W: 14.0, T24 W: 0]",0.25
erdos-renyi,25,7,24.0,0.030379746835443037,1.0265822784810126,70,13,10d,"[T16 W: 0, T10 W: 15.0, T19 W: 0]",0.25
erdos-renyi,25,7,27.0,0.03729281767955801,0.9033149171270718,70,9,10d,"[T8 W: 0, T17 W: 15.0, T11 W: 0]",0.25
erdos-renyi,25,7,24.0,0.027906976744186046,1.0290697674418605,70,13,10d,"[T9 W: 0, T13 W: 8.0, T10 W: 0]",0.25
erdos-renyi,25,9,26.0,0.025341130604288498,0.8460038986354775,90,12,10d,"[T0 W: 0, T19 W: 14.0, T12 W: 0]",0.33
erdos-renyi,25,9,28.0,0.024691358024691357,0.8668430335097002,90,13,10d,"[T2 W: 0, T17 W: 16.0, T13 W: 0]",0.33
erdos-renyi,25,9,31.0,0.03144016227180527,0.8813387423935092,70,11,10d,"[T16 W: 0, T23 W: 16.0, T20 W: 0]",0.33
erdos-renyi,25,9,28.0,0.02258064516129032,0.8467741935483871,90,14,10d,"[T1 W: 0, T9 W: 12.0, T17 W: 0]",0.33
erdos-renyi,25,9,25.0,0.023191094619666047,1.0129870129870129,90,14,10d,"[T4 W: 0, T23 W: 16.0, T13 W: 0]",0.33
erdos-renyi,25,7,26.0,0.03812316715542522,1.0454545454545454,72,12,12d,"[T1 W: 0, T13 W: 9.0, T6 W: 0]",0.25
erdos-renyi,25,7,28.0,0.03414634146341464,0.7524390243902439,84,10,12d,"[T2 W: 0, T6 W: 14.0, T15 W: 0]",0.25
